iter	RMSE
0	14.48780725
1	14.17430847
2	13.89373335
3	13.62832551
4	13.39363127
5	13.17207918
6	12.97030968
7	12.7985569
8	12.63944197
9	12.49091308
10	12.35673784
11	12.24450937
12	12.1448381
13	12.03902716
14	11.94344667
15	11.86501233
16	11.7973198
17	11.73836703
18	11.67212549
19	11.62147056
20	11.57718148
21	11.53560429
22	11.49708904
23	11.45656728
24	11.42428098
25	11.39666566
26	11.37091391
27	11.34210078
28	11.32290039
29	11.30236519
30	11.28227186
31	11.26467271
32	11.24749562
33	11.23089456
34	11.21267898
35	11.19960862
36	11.18796309
37	11.17618968
38	11.16486272
39	11.15599694
40	11.14700188
41	11.13717313
42	11.12585867
43	11.11950805
44	11.11219905
45	11.09939937
46	11.09111007
47	11.08373349
48	11.07319942
49	11.06710275
50	11.06091056
51	11.05376195
52	11.04771285
53	11.04128773
54	11.03449905
55	11.02814573
56	11.02188586
57	11.01533907
58	11.01026359
59	11.0035354
60	10.99784903
61	10.99237894
62	10.99011012
63	10.98505591
64	10.98005128
65	10.975165
66	10.9699713
67	10.96395773
68	10.95866759
69	10.95546101
70	10.95152428
71	10.94612181
72	10.94277041
73	10.9384096
74	10.93570583
75	10.93269209
76	10.92942057
77	10.92497942
78	10.91859931
79	10.91489423
80	10.91217884
81	10.90902453
82	10.90489384
83	10.90100754
84	10.89774158
85	10.89395311
86	10.88976385
87	10.88646779
88	10.88308521
89	10.88072152
90	10.87804698
91	10.87477462
92	10.87149416
93	10.86765038
94	10.86465355
95	10.85942021
96	10.85507721
97	10.85184306
98	10.84705105
99	10.84404455
100	10.84019308
101	10.83659941
102	10.83319347
103	10.8304132
104	10.82720919
105	10.82429686
106	10.82142574
107	10.81842908
108	10.81365616
109	10.8105637
110	10.80871323
111	10.80669682
112	10.80432362
113	10.80109877
114	10.79662527
115	10.79453785
116	10.78960251
117	10.78589148
118	10.7832337
119	10.77751654
120	10.77472444
121	10.76996602
122	10.76799321
123	10.76560078
124	10.76330429
125	10.76087568
126	10.75707747
127	10.75566854
128	10.752519
129	10.74920408
130	10.7459171
131	10.7442545
132	10.74113885
133	10.73875052
134	10.73599017
135	10.73278504
136	10.73125506
137	10.72954558
138	10.72719025
139	10.72506889
140	10.72097767
141	10.71842273
142	10.71417378
143	10.71154801
144	10.70852282
145	10.70585797
146	10.70322485
147	10.69880993
148	10.69458443
149	10.69186712
150	10.68923054
151	10.6872564
152	10.68369606
153	10.68226224
154	10.67888633
155	10.67575485
156	10.67333709
157	10.66958512
158	10.66656652
159	10.66308134
160	10.65699358
161	10.65432011
