iter	Passed	Remaining
0	59	59125
1	60	30170
2	62	20642
3	63	15782
4	64	12901
5	67	11147
6	68	9769
7	70	8709
8	71	7916
9	73	7242
10	74	6698
11	76	6258
12	77	5880
13	78	5562
14	80	5286
15	82	5081
16	85	4938
17	89	4874
18	91	4722
19	93	4587
20	95	4474
21	98	4366
22	101	4298
23	102	4181
24	104	4076
25	105	3960
26	106	3851
27	108	3753
28	109	3667
29	111	3589
30	112	3519
31	114	3455
32	116	3410
33	118	3354
34	119	3300
35	121	3247
36	123	3203
37	124	3152
38	126	3115
39	128	3078
40	130	3048
41	132	3012
42	133	2974
43	135	2942
44	138	2937
45	140	2913
46	142	2881
47	143	2843
48	145	2815
49	147	2793
50	148	2767
51	150	2740
52	151	2709
53	153	2682
54	154	2653
55	155	2629
56	157	2610
57	159	2592
58	161	2574
59	164	2573
60	165	2555
61	167	2534
62	168	2511
63	170	2488
64	171	2467
65	172	2445
66	174	2427
67	175	2408
68	177	2390
69	179	2385
70	181	2370
71	182	2356
72	184	2341
73	185	2325
74	187	2307
75	188	2289
76	189	2273
77	191	2258
78	192	2243
79	193	2228
80	196	2226
81	197	2216
82	199	2204
83	200	2189
84	202	2175
85	203	2163
86	205	2151
87	206	2142
88	208	2131
89	210	2124
90	211	2110
91	212	2097
92	213	2083
93	214	2072
94	216	2060
95	217	2048
96	219	2040
97	220	2029
98	222	2020
99	223	2015
100	225	2011
101	227	1999
102	228	1988
103	229	1978
104	231	1969
105	232	1959
106	233	1950
107	235	1941
108	236	1931
109	237	1921
110	239	1914
111	241	1915
112	242	1906
113	244	1899
114	245	1891
115	247	1882
116	248	1875
117	249	1867
118	251	1862
119	252	1853
120	253	1844
121	255	1836
122	257	1833
123	258	1825
124	259	1818
125	261	1811
126	262	1804
127	263	1795
128	264	1788
129	266	1780
130	267	1774
131	268	1767
132	270	1761
133	271	1755
134	274	1755
135	275	1750
136	277	1744
137	278	1738
138	279	1733
139	281	1727
140	282	1721
141	284	1717
142	285	1711
143	286	1704
144	289	1705
145	290	1700
146	292	1694
147	293	1690
148	295	1685
149	296	1679
150	297	1673
151	298	1667
152	300	1662
153	301	1656
154	303	1652
155	305	1652
156	306	1647
157	308	1642
158	309	1637
159	310	1632
160	312	1626
161	313	1624
162	315	1620
163	316	1615
164	318	1610
165	320	1609
166	322	1607
167	323	1602
168	324	1597
169	326	1595
170	328	1592
171	329	1587
172	331	1582
173	332	1580
174	334	1576
175	336	1573
176	338	1573
177	339	1568
178	341	1564
179	342	1560
180	343	1556
181	345	1552
182	346	1548
183	348	1544
184	349	1540
185	351	1536
186	353	1536
187	355	1533
188	356	1528
189	357	1524
190	358	1519
191	359	1514
192	361	1510
193	362	1506
194	364	1503
195	365	1499
196	366	1495
197	368	1490
198	370	1490
199	371	1487
200	373	1484
201	374	1479
202	375	1475
203	377	1471
204	378	1467
205	379	1463
206	381	1460
207	382	1457
208	384	1453
209	386	1453
210	388	1450
211	389	1447
212	390	1442
213	392	1439
214	393	1435
215	394	1431
216	395	1427
217	397	1424
218	398	1420
219	399	1416
220	401	1414
221	403	1412
222	404	1409
223	405	1405
224	407	1402
225	408	1399
226	409	1395
227	411	1392
228	412	1388
229	413	1385
230	415	1382
231	416	1380
232	419	1380
233	420	1377
234	422	1373
235	423	1372
236	425	1368
237	426	1366
238	428	1364
239	430	1362
240	431	1360
241	434	1360
242	435	1358
243	438	1357
244	439	1355
245	441	1353
246	443	1351
247	444	1348
248	446	1345
249	447	1343
250	449	1341
251	451	1339
252	452	1336
253	453	1333
254	455	1330
255	456	1327
256	458	1324
257	459	1321
258	461	1319
259	462	1316
260	463	1312
261	464	1309
262	466	1308
263	468	1305
264	469	1302
265	470	1299
266	472	1296
267	473	1292
268	474	1289
269	476	1287
270	477	1285
271	478	1281
272	480	1278
273	481	1275
274	483	1275
275	485	1272
276	486	1269
277	487	1266
278	489	1263
279	490	1261
280	492	1258
281	493	1255
282	494	1253
283	495	1250
284	497	1247
285	499	1246
286	501	1244
287	502	1242
288	504	1240
289	505	1238
290	507	1236
291	508	1233
292	510	1231
293	512	1231
294	514	1228
295	515	1225
296	516	1223
297	518	1220
298	519	1217
299	520	1214
300	521	1212
301	523	1209
302	524	1206
303	525	1203
304	528	1203
305	529	1201
306	531	1199
307	532	1196
308	533	1194
309	535	1191
310	536	1188
311	537	1185
312	539	1183
313	540	1180
314	541	1177
315	542	1174
316	544	1174
317	546	1171
318	547	1169
319	549	1167
320	550	1164
321	551	1161
322	552	1158
323	554	1156
324	555	1154
325	557	1151
326	558	1149
327	560	1148
328	561	1146
329	563	1143
330	564	1140
331	565	1138
332	567	1136
333	568	1133
334	569	1131
335	571	1128
336	572	1126
337	574	1124
338	575	1122
339	577	1121
340	579	1119
341	580	1116
342	581	1114
343	583	1112
344	584	1109
345	585	1107
346	587	1104
347	588	1102
348	589	1100
349	591	1097
350	592	1095
351	593	1093
352	595	1090
353	596	1088
354	598	1086
355	599	1084
356	600	1082
357	602	1079
358	603	1077
359	605	1075
360	606	1073
361	608	1071
362	609	1070
363	611	1068
364	612	1066
365	614	1063
366	615	1061
367	616	1058
368	617	1056
369	618	1053
370	620	1051
371	621	1049
372	622	1047
373	624	1044
374	625	1042
375	627	1040
376	628	1039
377	630	1037
378	631	1034
379	632	1032
380	634	1030
381	635	1027
382	636	1025
383	638	1023
384	639	1021
385	640	1019
386	642	1017
387	644	1016
388	645	1014
389	647	1012
390	648	1010
391	650	1008
392	651	1006
393	653	1004
394	654	1002
395	655	999
396	657	998
397	658	996
398	660	994
399	662	993
400	663	991
401	664	988
402	666	987
403	667	985
404	669	982
405	670	980
406	671	978
407	673	976
408	674	975
409	676	973
410	678	971
411	679	969
412	680	967
413	681	965
414	683	963
415	684	961
416	686	959
417	687	957
418	689	955
419	690	953
420	692	952
421	694	951
422	695	949
423	697	947
424	698	944
425	699	942
426	701	941
427	702	939
428	704	937
429	706	935
430	707	934
431	708	932
432	710	930
433	711	928
434	713	926
435	714	924
436	716	922
437	717	920
